Text,Sentiment
3ajbtni these ta3k,1
3ayan,-1
Mbloki,-1
j'ai pas compris pourquoi vous refaite ce sujet,-1
Dok ngolha ljadati ted3ilk w Rak t3rf fifty fifty,1
I3aychekkkk khouya machi sahbi ????,-1
Idir Elmam nchlh atarevhed achu mana iytetuyara??,1
Meriem Marita treb7i l hair ??,-1
Messaoudi Abdelkader waaaaaah ta yana ri bach n edentifiek w nderonjik ??????,-1
Moh Moudjed w ntaa amante beli rah terbah ??????,-1
Mthsich ??,-1
Mustapha Ida rbahnah Rana top ??,1
MusTapha UsmBa Hhhh morda ??,-1
Nad3illak fait slati hhhg,1
Nari Mene Hhhhh la39oouba liiiik ??,1
Narim Tair Hhhhh tasra karita ki yatla9aw ??????,-1
Nchlh ale3mer ??,1
Oussama Germany nchlh mtrbhch ????,-1
Raouf Belmokhi tssema ana mchi bnadem ??,-1
Sara Mallek hhhhhhhh zhri ou n3rfo ???????? bla ma tkolili,-1
Tama3 yachath okadav Pff tamnat ikel tiguii a lyes ti es bete a ce point,-1
terbah ch3ar mokh hhhh,-1
Tsema ana meshy bnadem ??? Normal ntentiw elmohim elmousharaka,-1
"votre concurrence n’est pas fiable,a mon avis je risque pas 5 millions pour un nouveau produit",-1
Wlh mhabel ?? 7asbetlhom hna k3ab,-1
????? ????? roh nik mok,-1
?????? ok bb,1
ge3 les commentaires répondawelhom ghir ta3ek nta xDD,-1
rak kali kachir,-1
terbah ch3ar,-1
Zakaria El Meslouhi Zakaria El Meslouhi Machi dial lmaghrib je p,-1
Abdaovich ya tama3 ??,-1
:D,1
:DDDDDD,1
^_^,1
^_^ <3,1
<3 insha allah imala,1
??Rabi yhfadkom inshlh,1
Abdel Moumen (y),1
Abdelhafid Saad inchalah,1
Abdelkader Benbouza ???? ?,1
Abdessamad Amraoui bonne chance,1
Akram Zitouni ????? ???? ??? ????? ???????,1
Alili Soumia inchaaaaaalah,1
Aller jasmine aller jasmine lol bonne chance cousine si tu gagnes nchallah tu vas me faire un brushing ??,1
Amel Djebbab bonne chance,1
Amine Ait Challel ???? ????,1
Aréézkii Ferhi Bonne chance frère !,1
Armaan Camax bon courage,1
Armaan Camax bon courage ?? lol,1
Assia Bel bonne chance .....??,1
Assia Bel bonne chance encore une fois .....????,1
Ath Mane oui bonne réponse,1
B courage,1
good luck ,1
Bnn chance Zina ,1
Bon chance à bb,1
Bon chance ma belle,1
"bon chance mon frère, mais j’espère matkounch kima gal neo bark lol",1
Bon courage ma belle,1
bon courage nchl trb7i,1
Bon courage tt le monde .,1
Bonne,1
Bonne chance,1
Bonne chance !,1
Bonne chance ! ^_^,1
Bonne chance .,1
Bonne chance :),1
Bonne chance :D,1
Bonne chance ^_^,1
Bonne chance 3amri???,1
Bonne chance à tous ??,1
Bonne chance a tout,1
Bonne chance à vous,1
Bonne chance à vous Laila ^_^,1
Bonne chance à vous ??,1
Bonne chance,1
Bonne chance bb ????,1
Bonne chance hhhhhhh?????? mazal tela niya lah ibarek,1
Bonne chance ma chère ^^,1
bonne courage :),1
Bonne courage soeurette,1
Bonne courage ??,1
bonne etat,1
Bonne réponse frère hhhh??,1
boone courage lahcene,1
boonne chance,1
Brahim Korichi bonne chance,1
 c'est fait merci .,1
 Merci,1
 merci bcp,1
" , merci j'ai cru que vous allez m'annoncer que j'ai gagner ??????",1
 c fait merci,1
 c fait mrc,1
 c fait ??,1
" c'est a nous de vous remercier pour vos innovations et votre progression, ??inchallah ?? la chance me sourira et que ma joie se complète en remportant le B One.",1
" c'est fait, merci",1
 cfait inchallah arbah ?????????????????????,1
 Félicitations mabrouk pour les deux gagnants,1
 J'ai tagué 7 amis en tout sur un autre commentaire mais bon je vais le refaire puisque ce B-One vaut bien la peine :D,1
 merci,1
 merci a vous,1
 merci a vous aussi,1
 merci à vous de nous apporté des produits de qualité,1
 merci bcp,1
 merci beaucoup,1
 merci ,1
 merci de nous donner les détails techniques,1
 merci et bonne chance à tous,1
 merci pour le concours inchallah ????????,1
 Merci ??,1
 mercii,1
 mercii ??,1
 merciiiii,1
 merci??,1
 si bon,1
 Wooow ,1
Bonne chance à tous ??????,1
By the way il est trop sympa wish u good luck khtitich,1
C déjà fait merci,1
C fait nchallah nerbeh,1
C’est bon,1
C'est fait merci??,1
bonne chance ma chérie,1
Demain incha'Allah :D,1
inchaaaaaallah,1
c une très bonne etudinate je le confirme,1
bon courage??,1
aaah tu m’avais dis que tu voulais un téléphone voilà l’occasion inchallah tu vas l’avoir ??,1
good luck,1
Good luck :),1
Good luck :D,1
Good luck ^_^,1
Good luck <3,1
